name,address,city,phone,type
arturo's,106 w. houston st.  off thompson st.,new york,212/677-3820,italian
au mandarin,200-250 vesey st. world financial center,new york,212/385-0313,asian
bar anise,1022 3rd ave.  between 60th and 61st sts.,new york,212/355-1112,mediterranean
barbetta,321 w. 46th st.,new york,212/246-9171,italian
ben benson's,123 w. 52nd st.,new york,212/581-8888,american
big cup,228 8th ave.  between 21st and 22nd sts.,new york,212/206-0059,coffee bar
billy's,948 1st ave.  between 52nd and 53rd sts.,new york,212/753-1870,american
boca chica,13 1st ave.  near 1st st.,new york,212/473-0108,latin american
bolo,23 e. 22nd st.,new york,212/228-2200,mediterranean
boonthai,1393a 2nd ave.  between 72nd and 73rd sts.,new york,212/249-8484,asian
bouterin,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french
brothers bar-b-q,225 varick st. at clarkston st.,new york,212/727-2775,american
bruno,240 e. 58th st.,new york,212/688-4190,italian
bryant park grill  roof restaurant and bp cafe,25 w. 40th st.  between 5th and 6th aves.,new york,212/840-6500,american
c3,103 waverly pl.  near washington sq.,new york,212/254-1200,american
ct,111 e. 22nd st.  between park ave. s and lexington ave.,new york,212/995-8500,french
cafe bianco,1486 2nd ave.  between 77th and 78th sts.,new york,212/988-2655,coffee bar
cafe botanica,160 central park s,new york,212/484-5120,french
cafe la fortuna,69 w. 71st st.,new york,212/724-5846,coffee bar
cafe luxembourg,200 w. 70th st.,new york,212/873-7411,french
cafe pierre,2 e. 61st st.,new york,212/940-8185,french
cafe centro,200 park ave.  between 45th st. and vanderbilt ave.,new york,212/818-1222,french
cafe fes,246 w. 4th st. at charles st.,new york,212/924-7653,mediterranean
caffe dante,81 macdougal st.  between houston and bleeker sts.,new york,212/982-5275,coffee bar
caffe dell'artista,46 greenwich ave.,new york,212/645-4431,coffee bar
caffe lure,169 sullivan st.  between houston and bleecker sts.,new york,212/473-2642,french
caffe reggio,119 macdougal st.  between 3rd and bleecker sts.,new york,212/475-9557,coffee bar
caffe roma,385 broome st. at mulberry,new york,212/226-8413,coffee bar
caffe vivaldi,32 jones st. at bleecker st.,new york,212/691-7538,coffee bar
caffe bondi ristorante,7 w. 20th st.,new york,212/691-8136,italian
capsouto freres,451 washington st.  near watts st.,new york,212/966-4900,french
captain's table,860 2nd ave. at 46th st.,new york,212/697-9538,seafood
casa la femme,150 wooster st.  between houston and prince sts.,new york,212/505-0005,middle eastern
cendrillon asian grill & marimba bar,45 mercer st.  between broome and grand sts.,new york,212/343-9012,asian
chez jacqueline,72 macdougal st.  between w. houston and bleecker sts.,new york,212/505-0727,french
chiam,160 e. 48th st.,new york,212/371-2323,asian
china grill,60 w. 53rd st.,new york,212/333-7788,american
cite,120 w. 51st st.,new york,212/956-7100,french
coco pazzo,23 e. 74th st.,new york,212/794-0205,italian
columbus bakery,53rd sts.,new york,212/421-0334,coffee bar
corrado cafe,1013 3rd ave.  between 60th and 61st sts.,new york,212/753-5100,coffee bar
cupcake cafe,522 9th ave. at 39th st.,new york,212/465-1530,coffee bar
da nico,164 mulberry st.  between grand and broome sts.,new york,212/343-1212,italian
dean & deluca,121 prince st.,new york,212/254-8776,coffee bar
diva,341 w. broadway  near grand st.,new york,212/941-9024,italian
dix et sept,181 w. 10th st.,new york,212/645-8023,french
docks,633 3rd ave. at 40th st.,new york,212/ 986-8080,seafood
duane park cafe,157 duane st.  between w. broadway and hudson st.,new york,212/732-5555,american
el teddy's,219 w. broadway  between franklin and white sts.,new york,212/941-7070,mexican
emily's,1325 5th ave. at 111th st.,new york,212/996-1212,american
empire korea,6 e. 32nd st.,new york,212/725-1333,asian
ernie's,2150 broadway  between 75th and 76th sts.,new york,212/496-1588,american
evergreen cafe,1288 1st ave. at 69th st.,new york,212/744-3266,asian
f. ille ponte ristorante,39 desbrosses st.  near west st.,new york,212/226-4621,italian
felix,340 w. broadway at grand st.,new york,212/431-0021,french
ferrier,29 e. 65th st.,new york,212/772-9000,french
fifty seven fifty seven,57 e. 57th st.,new york,212/758-5757,american
film center cafe,635 9th ave.  between 44th and 45th sts.,new york,212/ 262-2525,american
fiorello's roman cafe,1900 broadway  between 63rd and 64th sts.,new york,212/595-5330,italian
firehouse,522 columbus ave.  between 85th and 86th sts.,new york,212/595-3139,american
first,87 1st ave.  between 5th and 6th sts.,new york,212/674-3823,american
fishin eddie,73 w. 71st st.,new york,212/874-3474,seafood
fleur de jour,348 e. 62nd st.,new york,212/355-2020,coffee bar
flowers,21 west 17th st.  between 5th and 6th aves.,new york,212/691-8888,american
follonico,6 w. 24th st.,new york,212/691-6359,italian
fraunces tavern,54 pearl st. at broad st.,new york,212/269-0144,american
french roast,458 6th ave. at 11th st.,new york,212/533-2233,french
french roast cafe,2340 broadway at 85th st.,new york,212/799-1533,coffee bar
frico bar,402 w. 43rd st.  off 9th ave.,new york,212/564-7272,italian
fujiyama mama,467 columbus ave.  between 82nd and 83rd sts.,new york,212/769-1144,asian
gabriela's,685 amsterdam ave. at 93rd st.,new york,212/961-0574,mexican
gallagher's,228 w. 52nd st.,new york,212/245-5336,american
gianni's,15 fulton st.,new york,212/608-7300,seafood
girafe,208 e. 58th st.  between 2nd and 3rd aves.,new york,212/752-3054,italian
global,33 93 2nd ave.  between 5th and 6th sts.,new york,212/477-8427,american
golden unicorn,18 e. broadway at catherine st.,new york,212/ 941-0911,asian
grand ticino,228 thompson st.  between w. 3rd and bleecker sts.,new york,212/777-5922,italian
halcyon,151 w. 54th st.  in the rihga royal hotel,new york,212/468-8888,american
hard rock cafe,221 w. 57th st.,new york,212/489-6565,american
hi-life restaurant and lounge,1340 1st ave. at 72nd st.,new york,212/249-3600,american
home,20 cornelia st.  between bleecker and w. 4th st.,new york,212/243-9579,american
hudson river club,4 world financial center,new york,212/786-1500,american
i trulli,122 e. 27th st.  between lexington and park aves.,new york,212/481-7372,italian
il cortile,125 mulberry st.  between canal and hester sts.,new york,212/226-6060,italian
il nido,251 e. 53rd st.,new york,212/753-8450,italian
inca grill,492 broome st.  near w. broadway,new york,212/966-3371,latin american
indochine,430 lafayette st.  between 4th st. and astor pl.,new york,212/505-5111,asian
internet cafe,82 e. 3rd st.  between 1st and 2nd aves.,new york,212/ 614-0747,coffee bar
ipanema,13 w. 46th st.,new york,212/730-5848,latin american
jean lafitte,68 w. 58th st.,new york,212/751-2323,french
jewel of india,15 w. 44th st.,new york,212/869-5544,asian
jimmy sung's,219 e. 44th st.  between 2nd and 3rd aves.,new york,212/682-5678,asian
joe allen,326 w. 46th st.,new york,212/581-6464,american
judson grill,152 w. 52nd st.,new york,212/582-5252,american
l'absinthe,227 e. 67th st.,new york,212/794-4950,french
l'auberge,1191 1st ave.  between 64th and 65th sts.,new york,212/288-8791,middle eastern
l'auberge du midi,310 w. 4th st.  between w. 12th and bank sts.,new york,212/242-4705,french
l'udo,432 lafayette st.  near astor pl.,new york,212/388-0978,french
la reserve,4 w. 49th st.,new york,212/247-2993,french
lanza restaurant,168 1st ave.  between 10th and 11th sts.,new york,212/674-7014,italian
lattanzi ristorante,361 w. 46th st.,new york,212/315-0980,italian
layla,211 w. broadway at franklin st.,new york,212/431-0700,middle eastern
le chantilly,106 e. 57th st.,new york,212/751-2931,french
le colonial,149 e. 57th st.,new york,212/ 752-0808,asian
le gamin,50 macdougal st.  between houston and prince sts.,new york,212/254-4678,coffee bar
le jardin,25 cleveland pl.  near spring st.,new york,212/343-9599,french
le madri,168 w. 18th st.,new york,212/727-8022,italian
le marais,150 w. 46th st.,new york,212/869-0900,american
le perigord,405 e. 52nd st.,new york,212/755-6244,french
le select,507 columbus ave.  between 84th and 85th sts.,new york,212/875-1993,american
les halles,411 park ave. s  between 28th and 29th sts.,new york,212/679-4111,french
lincoln tavern,51 w. 64th st.,new york,212/721-8271,american
lola,30 west 22nd st.  between 5th and 6th ave.,new york,212/675-6700,american
lucky strike,59 grand st.  between wooster st. and w. broadway,new york,212/941-0479,or 212/941-0772 american
mad fish,2182 broadway  between 77th and 78th sts.,new york,212/787-0202,seafood
main street,446 columbus ave.  between 81st and 82nd sts.,new york,212/873-5025,american
mangia e bevi,800 9th ave. at 53rd st.,new york,212/956-3976,italian
manhattan cafe,1161 1st ave.  between 63rd and 64th sts.,new york,212/888-6556,american
manila garden,325 e. 14th st.  between 1st and 2nd aves.,new york,212/777-6314,asian
marichu,342 e. 46th st.  between 1st and 2nd aves.,new york,212/370-1866,french
marquet patisserie,15 e. 12th st.  between 5th ave. and university pl.,new york,212/229-9313,coffee bar
match,160 mercer st.  between houston and prince sts.,new york,212/906-9173,american
matthew's,1030 3rd ave. at 61st st.,new york,212/838-4343,american
mavalli palace,46 e. 29th st.,new york,212/679-5535,asian
milan cafe and coffee bar,120 w. 23rd st.,new york,212/807-1801,coffee bar
monkey bar,60 e. 54th st.,new york,212/838-2600,american
montien,1134 1st ave.   between 62nd and 63rd sts.,new york,212/421-4433,asian
morton's,551 5th ave. at 45th st.,new york,212/972-3315,american
motown cafe,104 w. 57th st.  near 6th ave.,new york,212/581-8030,american
new york kom tang soot bul house,32 w. 32nd st.,new york,212/ 947-8482,asian
new york noodletown,28 1/2 bowery at bayard st.,new york,212/349-0923,asian
newsbar,2 w. 19th st.,new york,212/255-3996,coffee bar
odeon,145 w. broadway at thomas st.,new york,212/233-0507,american
orso,322 w. 46th st.,new york,212/489-7212,italian
osteria al droge,142 w. 44th st.,new york,212/944-3643,italian
otabe,68 e. 56th st.,new york,212/223-7575,asian
pacifica,138 lafayette st.  between canal and howard sts.,new york,212/941-4168,asian
palio,151 w. 51st. st.,new york,212/245-4850,italian
pamir,1065 1st ave.  at 58th st.,new york,212/644-9258,middle eastern
parioli romanissimo,24 e. 81st st.,new york,212/288-2391,italian
patria,250 park ave. s at 20th st.,new york,212/777-6211,latin american
peacock alley,301 park ave.  between 49th and 50th sts.,new york,212/872-4895,french
pen & pencil,205 e. 45th st.,new york,212/682-8660,american
penang soho,109 spring st.  between greene and mercer sts.,new york,212/274-8883,asian
persepolis,1423 2nd ave.  between 74th and 75th sts.,new york,212/535-1100,middle eastern
planet hollywood,140 w. 57th st.,new york,212/333-7827,american
pomaire,371 w. 46th st.  off 9th ave.,new york,212/ 956-3055,latin american
popover cafe,551 amsterdam ave.  between 86th and 87th sts.,new york,212/595-8555,american
post house,28 e. 63rd st.,new york,212/935-2888,american
rain,100 w. 82nd st.,new york,212/501-0776,asian
red tulip,439 e. 75th st.,new york,212/734-4893,eastern european
remi,145 w. 53rd st.,new york,212/581-4242,italian
republic,37a union sq. w  between 16th and 17th sts.,new york,212/627-7172,asian
roettelle a. g,126 e. 7th st.  between 1st ave. and ave. a,new york,212/674-4140,continental
rosa mexicano,1063 1st ave. at 58th st.,new york,212/753-7407,mexican
ruth's chris,148 w. 51st st.,new york,212/245-9600,american
s.p.q.r,133 mulberry st.  between hester and grand sts.,new york,212/925-3120,italian
sal anthony's,55 irving pl.,new york,212/982-9030,italian
sammy's roumanian steak house,157 chrystie st. at delancey st.,new york,212/673-0330,east european
san pietro,18 e. 54th st.,new york,212/753-9015,italian
sant ambroeus,1000 madison ave.  between 77th and 78th sts.,new york,212/570-2211,coffee bar
sarabeth's kitchen,423 amsterdam ave.  between 80th and 81st sts.,new york,212/496-6280,american
sea grill,19 w. 49th st.,new york,212/332-7610,seafood
serendipity,3 225 e. 60th st.,new york,212/838-3531,american
seventh regiment mess and bar,643 park ave. at 66th st.,new york,212/744-4107,american
sfuzzi,58 w. 65th st.,new york,212/873-3700,american
shaan,57 w. 48th st.,new york,212/ 977-8400,asian
sofia fabulous pizza,1022 madison ave.  near 79th st.,new york,212/734-2676,italian
spring street natural restaurant & bar,62 spring st. at lafayette st.,new york,212/966-0290,american
stage deli,834 7th ave.  between 53rd and 54th sts.,new york,212/245-7850,delicatessen
stingray,428 amsterdam ave.  between 80th and 81st sts.,new york,212/501-7515,seafood
sweet'n'tart cafe,76 mott st. at canal st.,new york,212/334-8088,asian
t salon,143 mercer st. at prince st.,new york,212/925-3700,coffee bar
tang pavillion,65 w. 55th st.,new york,212/956-6888,asian
tapika,950 8th ave. at 56th st.,new york,212/ 397-3737,american
teresa's,103 1st ave.  between 6th and 7th sts.,new york,212/228-0604,east european
terrace,400 w. 119th st.  between amsterdam and morningside aves.,new york,212/666-9490,continental
the coffee pot,350 9th ave. at 49th st.,new york,212/265-3566,coffee bar
the savannah club,2420 broadway at 89th st.,new york,212/496-1066,american
trattoria dell'arte,900 7th ave.  between 56th and 57th sts.,new york,212/245-9800,italian
triangolo,345 e. 83rd st.,new york,212/472-4488,italian
tribeca grill,375 greenwich st.  near franklin st.,new york,212/941-3900,american
trois jean,154 e. 79th st.  between lexington and 3rd aves.,new york,212/988-4858,coffee bar
tse yang,34 e. 51st st.,new york,212/688-5447,asian
turkish kitchen,386 3rd ave.  between 27th and 28th sts.,new york,212/679-1810,middle eastern
two two two,222 w. 79th st.,new york,212/799-0400,american
veniero's pasticceria,342 e. 11th st.  near 1st ave.,new york,212/674-7264,coffee bar
verbena,54 irving pl. at 17th st.,new york,212/260-5454,american
victor's cafe,52 236 w. 52nd st.,new york,212/586-7714,latin american
vince & eddie's,70 w. 68th st.,new york,212/721-0068,american
vong,200 e. 54th st.,new york,212/486-9592,american
water club,500 e. 30th st.,new york,212/683-3333,american
west,63rd street steakhouse 44 w. 63rd st.,new york,212/246-6363,american
xunta,174 1st ave.  between 10th and 11th sts.,new york,212/614-0620,mediterranean
zen palate,34 union sq. e at 16th st.,new york,212/614-9291,and 212/614-9345 asian
zoe,90 prince st.  between broadway and mercer st.,new york,212/966-6722,american
abbey,163 ponce de leon ave.,atlanta,404/876-8532,international
aleck's barbecue heaven,783 martin luther king jr. dr.,atlanta,404/525-2062,barbecue
annie's thai castle,3195 roswell rd.,atlanta,404/264-9546,asian
anthonys,3109 piedmont rd.  just south of peachtree rd.,atlanta,404/262-7379,american
atlanta fish market,265 pharr rd.,atlanta,404/262-3165,american
beesley's of buckhead,260 e. paces ferry road,atlanta,404/264-1334,continental
bertolini's,3500 peachtree rd.  phipps plaza,atlanta,404/233-2333,italian
bistango,1100 peachtree st.,atlanta,404/724-0901,mediterranean
cafe renaissance,7050 jimmy carter blvd.  norcross,atlanta,770/441--0291,american
camille's,1186 n. highland ave.,atlanta,404/872-7203,italian
cassis,3300 peachtree rd.  grand hyatt,atlanta,404/365-8100,mediterranean
city grill,50 hurt plaza,atlanta,404/524-2489,international
coco loco,40  buckhead crossing mall on the sidney marcus blvd.,atlanta,404/364-0212,caribbean
colonnade restaurant,1879 cheshire bridge rd.,atlanta,404/874-5642,southern
dante's down the hatch  buckhead,3380 peachtree rd.,atlanta,404/266-1600,continental
dante's down the hatch,underground underground mall  underground atlanta,atlanta,404/577-1800,continental
fat matt's rib shack,1811 piedmont ave.  near cheshire bridge rd.,atlanta,404/607-1622,barbecue
french quarter food shop,923 peachtree st.  at 8th st.,atlanta,404/875-2489,southern
holt bros. bar-b-q,6359 jimmy carter blvd.  at buford hwy.  norcross,atlanta,770/242-3984,barbecue
horseradish grill,4320 powers ferry rd.,atlanta,404/255-7277,southern
hsu's gourmet,192 peachtree center ave.  at international blvd.,atlanta,404/659-2788,asian
imperial fez,2285 peachtree rd.  peachtree battle condominium,atlanta,404/351-0870,mediterranean
kamogawa,3300 peachtree rd.  grand hyatt,atlanta,404/841-0314,asian
la grotta at ravinia dunwoody rd.,holiday inn/crowne plaza at ravinia  dunwoody,atlanta,770/395-9925,italian
little szechuan,c buford hwy.  northwoods plaza  doraville,atlanta,770/451-0192,asian
lowcountry barbecue,6301 roswell rd.  sandy springs plaza  sandy springs,atlanta,404/255-5160,barbecue
luna si,1931 peachtree rd.,atlanta,404/355-5993,continental
mambo restaurante cubano,1402 n. highland ave.,atlanta,404/874-2626,caribbean
mckinnon's louisiane,3209 maple dr.,atlanta,404/237-1313,southern
mi spia dunwoody rd.,park place  across from perimeter mall  dunwoody,atlanta,770/393-1333,italian
nickiemoto's: a sushi bar,247 buckhead ave.  east village sq.,atlanta,404/842-0334,fusion
palisades,1829 peachtree rd.,atlanta,404/350-6755,continental
pleasant peasant,555 peachtree st.  at linden ave.,atlanta,404/874-3223,american
pricci,500 pharr rd.,atlanta,404/237-2941,italian
r.j.'s uptown kitchen & wine bar,870 n. highland ave.,atlanta,404/875-7775,american
rib ranch,25 irby ave.,atlanta,404/233-7644,barbecue
sa tsu ki,3043 buford hwy.,atlanta,404/325-5285,asian
sato sushi and thai,6050 peachtree pkwy.  norcross,atlanta,770/449-0033,asian
south city kitchen,1144 crescent ave.,atlanta,404/873-7358,southern
south of france,2345 cheshire bridge rd.,atlanta,404/325-6963,french
stringer's fish camp and oyster bar,3384 shallowford rd.  chamblee,atlanta,770/458-7145,southern
sundown cafe,2165 cheshire bridge rd.,atlanta,404/321-1118,american
taste of new orleans,889 w. peachtree st.,atlanta,404/874-5535,southern
tomtom,3393 peachtree rd.,atlanta,404/264-1163,continental
antonio's,3700 w. flamingo,las vegas,702/252-7737,italian
bally's big kitchen,3645 las vegas blvd. s,las vegas,702/739-4111,buffets
bamboo garden,4850 flamingo rd.,las vegas,702/871-3262,asian
battista's hole in the wall,4041 audrie st. at flamingo rd.,las vegas,702/732-1424,italian
bertolini's,3570 las vegas blvd. s,las vegas,702/735-4663,italian
binion's coffee shop,128 fremont st.,las vegas,702/382-1600,coffee shops/diners
bistro,3400 las vegas blvd. s,las vegas,702/791-7111,continental
broiler,4111 boulder hwy.,las vegas,702/432-7777,american
bugsy's diner,3555 las vegas blvd. s,las vegas,702/733-3111,coffee shops/diners
cafe michelle,1350 e. flamingo rd.,las vegas,702/735-8686,american
cafe roma,3570 las vegas blvd. s,las vegas,702/731-7547,coffee shops/diners
capozzoli's,3333 s. maryland pkwy.,las vegas,702/731-5311,italian
carnival world,3700 w. flamingo rd.,las vegas,702/252-7777,buffets
center stage plaza hotel,1 main st.,las vegas,702/386-2512,american
circus circus,2880 las vegas blvd. s,las vegas,702/734-0410,buffets
empress court,3570 las vegas blvd. s,las vegas,702/731-7888,asian
feast,2411 w. sahara ave.,las vegas,702/367-2411,buffets
golden nugget hotel,129 e. fremont st.,las vegas,702/385-7111,buffets
golden steer,308 w. sahara ave.,las vegas,702/384-4470,steak houses
lillie langtry's,129 e. fremont st.,las vegas,702/385-7111,asian
mandarin court,1510 e. flamingo rd.,las vegas,702/737-1234,asian
margarita's mexican cantina,3120 las vegas blvd. s,las vegas,702/794-8200,mexican
mary's diner,5111 w. boulder hwy.,las vegas,702/454-8073,coffee shops/diners
mikado,3400 las vegas blvd. s,las vegas,702/791-7111,asian
pamplemousse,400 e. sahara ave.,las vegas,702/733-2066,continental
ralph's diner,3000 las vegas blvd. s,las vegas,702/732-6330,coffee shops/diners
the bacchanal,3570 las vegas blvd. s,las vegas,702/731-7525,only in las vegas
venetian,3713 w. sahara ave.,las vegas,702/876-4190,italian
viva mercado's,6182 w. flamingo rd.,las vegas,702/871-8826,mexican
yolie's,3900 paradise rd.,las vegas,702/794-0700,steak houses
